city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
,,,,,,,,,,,,,,,,,,29044814,Ivan,"$1,576.00",1,0.30%,,,,
,,,,,,,,,,,,,,,,,,223040485,Samreen,"$1,575.00",1,9.60%,,,,
,,,,,,,,,,,,,,,,,,8185146,Laurie,"$1,570.00",1,1.40%,,,,
,,,,,,,,,,,,,,,,,,36958541,Christiaan,"$1,560.00",1,11.00%,,,,
,,,,,,,,,,,,,,,,,,316480624,George,"$1,554.00",1,5.80%,,,,
,,,,,,,,,,,,,,,,,,273069164,Timothy,"$1,550.00",1,8.50%,,,,
,,,,,,,,,,,,,,,,,,68252461,Natalia,"$1,550.00",1,2.70%,,,,
,,,,,,,,,,,,,,,,,,14898273,Misty Ann,"$1,550.00",1,0.50%,,,,
,,,,,,,,,,,,,,,,,,45293333,Melody,"$1,540.00",1,7.70%,,,,
,,,,,,,,,,,,,,,,,,150298317,Karen And Andres,"$1,529.00",1,3.00%,,,,
,,,,,,,,,,,,,,,,,,207294246,Vivian,"$1,525.00",1,16.70%,,,,
,,,,,,,,,,,,,,,,,,113236644,Miou,"$1,520.00",1,5.20%,,,,
,,,,,,,,,,,,,,,,,,1878186,Rob And Hillary,"$1,520.00",1,4.40%,,,,
,,,,,,,,,,,,,,,,,,199952576,Victor,"$1,519.00",1,8.50%,,,,
,,,,,,,,,,,,,,,,,,158494553,Tsotne (Tut),"$1,518.00",1,6.30%,,,,
,,,,,,,,,,,,,,,,,,289257440,Edward,"$1,517.00",1,11.20%,,,,
,,,,,,,,,,,,,,,,,,250296629,203,"$1,516.00",1,1.10%,,,,
,,,,,,,,,,,,,,,,,,37861364,Mm,"$1,505.00",1,9.60%,,,,
,,,,,,,,,,,,,,,,,,298921063,Sattawat,"$1,500.00",1,4.10%,,,,
,,,,,,,,,,,,,,,,,,206783790,Oscar,"$1,500.00",1,4.10%,,,,
,,,,,,,,,,,,,,,,,,156360525,Scott,"$1,500.00",1,1.60%,,,,
,,,,,,,,,,,,,,,,,,49413384,Gwendolyn,"$1,500.00",1,5.50%,,,,
,,,,,,,,,,,,,,,,,,26564883,Kirsten,"$1,500.00",1,0.50%,,,,
,,,,,,,,,,,,,,,,,,16747672,Christy,"$1,500.00",1,0.80%,,,,
,,,,,,,,,,,,,,,,,,853837,Randall,"$1,498.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,90655016,Redoneva,"$1,496.00",1,6.00%,,,,
,,,,,,,,,,,,,,,,,,255490228,Michael,"$1,482.00",1,5.20%,,,,
,,,,,,,,,,,,,,,,,,352697517,Iris,"$1,480.00",1,10.10%,,,,
,,,,,,,,,,,,,,,,,,29823067,Himanshu,"$1,470.00",1,3.80%,,,,
,,,,,,,,,,,,,,,,,,424793,Iz,"$1,463.00",4,4.23%,,,,
,,,,,,,,,,,,,,,,,,119811037,James,"$1,456.00",1,2.20%,,,,
,,,,,,,,,,,,,,,,,,108599645,Jack Mia,"$1,456.00",1,4.40%,,,,
,,,,,,,,,,,,,,,,,,19707550,Julie,"$1,442.00",1,3.80%,,,,
,,,,,,,,,,,,,,,,,,331213301,James,"$1,440.00",1,8.80%,,,,
,,,,,,,,,,,,,,,,,,196418785,The Curtis Park Club,"$1,440.00",1,4.40%,,,,
,,,,,,,,,,,,,,,,,,67469571,Naomi,"$1,440.00",1,3.30%,,,,
,,,,,,,,,,,,,,,,,,7150495,Wren,"$1,435.00",1,9.60%,,,,
,,,,,,,,,,,,,,,,,,182235421,Marie,"$1,431.00",1,14.50%,,,,
,,,,,,,,,,,,,,,,,,268784513,Amit,"$1,430.00",1,6.00%,,,,
,,,,,,,,,,,,,,,,,,202100268,Julian,"$1,430.00",1,6.00%,,,,
,,,,,,,,,,,,,,,,,,96456433,Jenna Nate,"$1,407.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,189897994,Annie,"$1,406.00",1,10.10%,,,,
,,,,,,,,,,,,,,,,,,8917310,Eyal,"$1,404.00",1,7.10%,,,,
,,,,,,,,,,,,,,,,,,83265979,Suzy,"$1,400.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,42555896,Yolanda,"$1,400.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,2033914,Nzingha,"$1,400.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,178114204,Elizabeth,"$1,395.00",1,8.50%,,,,
,,,,,,,,,,,,,,,,,,113109354,Thomas,"$1,395.00",1,8.50%,,,,
,,,,,,,,,,,,,,,,,,11725608,Juan,"$1,380.00",1,8.20%,,,,
,,,,,,,,,,,,,,,,,,293373619,Jihane,"$1,376.00",1,8.80%,,,,
,,,,,,,,,,,,,,,,,,9946914,Nick,"$1,360.00",1,4.70%,,,,
,,,,,,,,,,,,,,,,,,7229288,Ali,"$1,360.00",1,4.40%,,,,
,,,,,,,,,,,,,,,,,,2635847,Erin,"$1,360.00",1,4.40%,,,,
,,,,,,,,,,,,,,,,,,17773625,Josie,"$1,350.00",1,0.80%,,,,
,,,,,,,,,,,,,,,,,,602266,Steve Timothy,"$1,350.00",1,8.20%,,,,
,,,,,,,,,,,,,,,,,,18139382,Al,"$1,334.00",1,6.30%,,,,
,,,,,,,,,,,,,,,,,,29566381,Eugene,"$1,330.00",1,5.20%,,,,
,,,,,,,,,,,,,,,,,,277396425,Convention Center Exclusive Flats,"$1,326.00",1,3.60%,,,,
,,,,,,,,,,,,,,,,,,18438208,Becca,"$1,326.00",1,3.60%,,,,
,,,,,,,,,,,,,,,,,,127349532,2773 Kennedy Blvd,"$1,325.00",1,14.50%,,,,
,,,,,,,,,,,,,,,,,,20240198,Bill,"$1,323.00",1,5.80%,,,,
,,,,,,,,,,,,,,,,,,331562764,Rich,"$1,320.00",1,1.60%,,,,
,,,,,,,,,,,,,,,,,,85177378,Chris,"$1,320.00",1,12.10%,,,,
,,,,,,,,,,,,,,,,,,4178827,Jay,"$1,320.00",1,9.00%,,,,
,,,,,,,,,,,,,,,,,,163651938,Andrea,"$1,310.00",1,2.70%,,,,
,,,,,,,,,,,,,,,,,,146375349,Aram Bbb Ml,"$1,302.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,256102313,Polina,"$1,300.00",1,3.60%,,,,
,,,,,,,,,,,,,,,,,,9454445,Jordana,"$1,294.00",1,0.50%,,,,
,,,,,,,,,,,,,,,,,,3147660,Georgia,"$1,287.00",1,0.80%,,,,
,,,,,,,,,,,,,,,,,,145674904,Barbara,"$1,275.00",1,4.70%,,,,
,,,,,,,,,,,,,,,,,,506339,Nick,"$1,274.00",1,3.60%,,,,
,,,,,,,,,,,,,,,,,,298338860,The Gregory Hotel,"$1,267.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,247499993,Booking,"$1,260.00",1,4.90%,,,,
,,,,,,,,,,,,,,,,,,92634357,Ruthy Roger,"$1,260.00",1,4.90%,,,,
,,,,,,,,,,,,,,,,,,8556229,Silvester,"$1,260.00",1,5.80%,,,,
,,,,,,,,,,,,,,,,,,365226771,Vlada And Alex,"$1,254.00",1,9.00%,,,,
,,,,,,,,,,,,,,,,,,170115907,Jose,"$1,254.00",1,10.40%,,,,
,,,,,,,,,,,,,,,,,,329108435,Mohammad,"$1,253.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,7697679,Debby,"$1,235.00",1,3.60%,,,,
,,,,,,,,,,,,,,,,,,9913035,George,"$1,230.00",1,8.20%,,,,
,,,,,,,,,,,,,,,,,,261692245,Dane Jing,"$1,225.00",1,9.60%,,,,
,,,,,,,,,,,,,,,,,,226868988,Nana,"$1,220.00",1,2.70%,,,,
,,,,,,,,,,,,,,,,,,11609554,Calina,"$1,219.00",1,6.30%,,,,
,,,,,,,,,,,,,,,,,,127432738,Bonny,"$1,216.00",1,8.80%,,,,
,,,,,,,,,,,,,,,,,,346178599,Stephanie,"$1,211.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,129161153,Hermann,"$1,210.00",1,6.00%,,,,
,,,,,,,,,,,,,,,,,,331153780,Kevin,"$1,200.00",1,2.70%,,,,
,,,,,,,,,,,,,,,,,,226557968,Alonzo,"$1,200.00",1,2.20%,,,,
,,,,,,,,,,,,,,,,,,134168758,Lainie,"$1,200.00",1,2.20%,,,,
,,,,,,,,,,,,,,,,,,98988662,Jake,"$1,200.00",1,1.40%,,,,
,,,,,,,,,,,,,,,,,,21042801,Charles,"$1,200.00",1,1.60%,,,,
,,,,,,,,,,,,,,,,,,17739626,Cheryl,"$1,195.00",1,1.40%,,,,
,,,,,,,,,,,,,,,,,,489690,Shelley,"$1,194.00",1,1.60%,,,,
,,,,,,,,,,,,,,,,,,14099328,Josh,"$1,190.00",1,3.80%,,,,
,,,,,,,,,,,,,,,,,,65961078,Shai,"$1,185.00",1,4.10%,,,,
,,,,,,,,,,,,,,,,,,88617842,Shawn,"$1,176.00",1,6.60%,,,,
,,,,,,,,,,,,,,,,,,142606750,Delores,"$1,170.00",1,4.10%,,,,
,,,,,,,,,,,,,,,,,,120762452,Stanley,"$1,169.00",3,1.20%,,,,
,,,,,,,,,,,,,,,,,,150373185,Dame,"$1,150.00",1,2.70%,,,,
,,,,,,,,,,,,,,,,,,141204556,Emanuel Ivy,"$1,150.00",1,6.30%,,,,
,,,,,,,,,,,,,,,,,,17392429,Marie,"$1,148.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,41331582,Anna,"$1,140.00",1,5.20%,,,,
,,,,,,,,,,,,,,,,,,552705,"Amanda (Marz, Nickname)","$1,140.00",1,5.20%,,,,
,,,,,,,,,,,,,,,,,,21660874,Scott,"$1,125.00",1,1.40%,,,,
,,,,,,,,,,,,,,,,,,31830429,Joseph,"$1,122.00",2,1.90%,,,,
,,,,,,,,,,,,,,,,,,239543421,Mohini,"$1,121.00",1,5.20%,,,,
,,,,,,,,,,,,,,,,,,2466294,Ian,"$1,120.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,106269135,Donald,"$1,110.00",1,10.10%,,,,
,,,,,,,,,,,,,,,,,,124593127,Miguel,"$1,100.00",1,6.00%,,,,
,,,,,,,,,,,,,,,,,,32844658,Sohrab,"$1,100.00",1,3.00%,,,,
,,,,,,,,,,,,,,,,,,2820851,Nw Portland Hostel,"$1,089.00",1,3.00%,,,,
,,,,,,,,,,,,,,,,,,66109042,Paris,"$1,088.00",1,8.80%,,,,
,,,,,,,,,,,,,,,,,,241889662,Incentra Village Guest House,"$1,080.00",1,3.30%,,,,
,,,,,,,,,,,,,,,,,,180004994,Jeannie And Paul,"$1,080.00",1,29.60%,,,,
,,,,,,,,,,,,,,,,,,110012624,Shandry,"$1,080.00",1,0.50%,,,,
,,,,,,,,,,,,,,,,,,44880235,Regan,"$1,080.00",1,6.60%,,,,
,,,,,,,,,,,,,,,,,,44216258,Mark,"$1,080.00",1,4.90%,,,,
,,,,,,,,,,,,,,,,,,24468026,Rayshel,"$1,078.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,2146719,Nikki,"$1,075.00",1,6.80%,,,,
,,,,,,,,,,,,,,,,,,292681341,Sky,"$1,071.00",1,5.80%,,,,
,,,,,,,,,,,,,,,,,,161040667,John,"$1,050.00",1,4.10%,,,,
,,,,,,,,,,,,,,,,,,133815451,Honey,"$1,050.00",1,4.10%,,,,
,,,,,,,,,,,,,,,,,,31668272,Ava,"$1,050.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,10156476,Robert,"$1,050.00",1,0.80%,,,,
,,,,,,,,,,,,,,,,,,1207773,Trista,"$1,050.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,4809876,Jer,"$1,045.00",1,1.40%,,,,
,,,,,,,,,,,,,,,,,,58250343,Xavier,"$1,044.00",1,2.50%,,,,
,,,,,,,,,,,,,,,,,,141426597,Lester,"$1,035.00",1,2.50%,,,,
,,,,,,,,,,,,,,,,,,276353549,Pagoda,"$1,034.00",1,3.00%,,,,
,,,,,,,,,,,,,,,,,,3986873,Elena,"$1,032.00",1,6.60%,,,,
,,,,,,,,,,,,,,,,,,32527091,Irena,"$1,020.00",1,4.10%,,,,
,,,,,,,,,,,,,,,,,,228721932,Rickie,"$1,015.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,4187024,Charlee,"$1,015.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,2764371,Pamela,"$1,015.00",1,1.90%,,,,
,,,,,,,,,,,,,,,,,,222924324,Shannon,"$1,014.00",1,1.60%,,,,
,,,,,,,,,,,,,,,,,,124307753,Aj,"$1,012.00",1,12.60%,,,,
,,,,,,,,,,,,,,,,,,131942605,Felicia,"$1,002.00",2,3.85%,,,,
,,,,,,,,,,,,,,,,,,155748265,Candace,"$1,000.00",1,0.50%,,,,
,,,,,,,,,,,,,,,,,,128635026,Broadlind Hotel,"$1,000.00",1,2.20%,,,,
,,,,,,,,,,,,,,,,,,39455276,Doug,"$1,000.00",1,0.50%,,,,
,,,,,,,,,,,,,,,,,,27439453,Ingrid Mike,"$1,000.00",1,2.20%,,,,
,,,,,,,,,,,,,,,,,,25551648,Vacation Inn La,$995.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,359234447,Kia,$990.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,144796836,Mustofa,$990.00,1,6.00%,,,,
,,,,,,,,,,,,,,,,,,47940043,Phil,$990.00,1,9.00%,,,,
,,,,,,,,,,,,,,,,,,200692820,Jeanette,$988.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,22382732,Sue,$988.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,210924870,Sophie,$981.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,289859446,New Jersey,$980.00,1,3.80%,,,,
,,,,,,,,,,,,,,,,,,2646603,Casa,$980.00,1,5.50%,,,,
,,,,,,,,,,,,,,,,,,128453138,Ranaldi,$979.00,1,3.00%,,,,
,,,,,,,,,,,,,,,,,,161489684,The Freehand,$978.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,34393113,Deb,$975.00,1,6.80%,,,,
,,,,,,,,,,,,,,,,,,7364591,Galen,$973.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,145036821,Solomon,$960.00,1,4.40%,,,,
,,,,,,,,,,,,,,,,,,115993728,Robert,$960.00,1,6.60%,,,,
,,,,,,,,,,,,,,,,,,35660072,Serena,$952.00,1,4.70%,,,,
,,,,,,,,,,,,,,,,,,21014989,Corinne,$950.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,887032,Jarret,$950.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,24345033,Graeme,$942.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,178808059,Dicky,$940.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,48063197,Vacasa Louisiana,$940.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,45248498,Iri,$931.00,1,5.20%,,,,
,,,,,,,,,,,,,,,,,,181205324,Plushy,$923.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,235815210,Svetlana,$920.00,1,6.30%,,,,
,,,,,,,,,,,,,,,,,,31478582,Dali,$917.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,351532391,Turnkey,$916.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,171722549,Not Specified,$915.00,1,4.10%,,,,
,,,,,,,,,,,,,,,,,,8584386,Kim,$910.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,265896276,Rama,$909.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,208610094,Eufemia,$902.00,1,6.00%,,,,
,,,,,,,,,,,,,,,,,,89562758,Terrell,$900.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,59609333,Kiku,$900.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,26807158,Sara,$900.00,1,4.10%,,,,
,,,,,,,,,,,,,,,,,,26010375,Steve,$900.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,14062873,Carrie,$900.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,9864136,Anthony,$900.00,1,6.80%,,,,
,,,,,,,,,,,,,,,,,,1906150,Susana,$896.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,25147343,Kenny,$891.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,1643064,Kurt,$891.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,348467761,Jose A,$880.00,1,6.00%,,,,
,,,,,,,,,,,,,,,,,,183748799,Amy,$876.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,5769728,Adam,$875.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,861297,Ron,$875.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,228432,Nathalie,$875.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,10031739,Gretje,$869.00,1,3.00%,,,,
,,,,,,,,,,,,,,,,,,25591329,Linda,$864.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,333904876,Rainly,$861.00,1,5.80%,,,,
,,,,,,,,,,,,,,,,,,9583022,Chris,$860.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,344035,Len + The Brooklynbreakfast Team,$858.00,1,6.00%,,,,
,,,,,,,,,,,,,,,,,,11111526,Gregg,$855.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,39662644,Paul,$850.00,1,9.30%,,,,
,,,,,,,,,,,,,,,,,,8290371,Carmen,$846.00,1,4.90%,,,,
,,,,,,,,,,,,,,,,,,21796999,Stuart,$845.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,42903100,Anthony,$840.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,33749437,Brandon,$840.00,3,0.30%,,,,
,,,,,,,,,,,,,,,,,,29839731,Kei,$840.00,1,3.80%,,,,
,,,,,,,,,,,,,,,,,,13049727,L,$840.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,10332446,Rosemary,$840.00,1,5.80%,,,,
,,,,,,,,,,,,,,,,,,25109566,Rambo,$836.00,1,3.00%,,,,
,,,,,,,,,,,,,,,,,,300165845,Ahmed,$833.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,9293730,Inna,$833.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,79023373,William,$832.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,78843359,Zuly,$826.00,1,3.80%,,,,
,,,,,,,,,,,,,,,,,,226713682,Francis,$820.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,52255118,Tracy,$816.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,273116910,Wendy,$810.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,247831026,Kevin,$810.00,1,4.90%,,,,
,,,,,,,,,,,,,,,,,,217512712,Winnie,$810.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,23000947,Eric Helen,$810.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,162280872,Eran,$800.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,87724136,Jo,$796.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,226503876,Chi,$792.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,30719211,Zazy Georges,$790.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,2439224,Peter,$789.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,25102378,Fahad,$786.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,216235179,Sergii And Vlada,$782.00,2,3.15%,,,,
,,,,,,,,,,,,,,,,,,6958867,Henry,$780.00,1,5.50%,,,,
,,,,,,,,,,,,,,,,,,190151265,Byron,$777.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,32167398,Meela,$777.00,1,5.80%,,,,
,,,,,,,,,,,,,,,,,,335606894,David,$774.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,137309769,Henry,$770.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,60954672,Hasija Edin,$765.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,15320889,Samantha,$765.00,1,4.10%,,,,
,,,,,,,,,,,,,,,,,,78643953,Daniel,$760.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,40308957,Aj,$760.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,31103872,Qasim,$760.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,9671392,Dorcas,$760.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,352072152,Kellie,$750.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,24805785,Robin,$750.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,24267774,Barbara,$750.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,15717481,Austinville Properties,$750.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,2480939,Charles,$750.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,258742885,Catarina Ernesto,$745.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,174642927,Sarah,$744.00,4,2.13%,,,,
,,,,,,,,,,,,,,,,,,10128150,Kauai Palms Hotel,$744.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,155635669,Eglis,$738.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,143567965,Sherry,$729.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,206527211,Judge'S Mansion,$728.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,164886138,Eliahu,$728.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,103365676,Amanda,$728.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,3223938,Eugene,$726.00,1,6.00%,,,,
,,,,,,,,,,,,,,,,,,159369488,Tara,$724.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,76266709,Sarah,$720.00,1,4.90%,,,,
,,,,,,,,,,,,,,,,,,52021043,Yuri,$720.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,21188390,Michele,$720.00,1,4.10%,,,,
,,,,,,,,,,,,,,,,,,6914127,Debbie,$720.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,360898391,Soyhome,$717.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,8893603,Didi,$715.00,1,3.00%,,,,
,,,,,,,,,,,,,,,,,,2648008,Sara,$715.00,1,3.00%,,,,
,,,,,,,,,,,,,,,,,,159358634,Rosella,$700.00,1,5.50%,,,,
,,,,,,,,,,,,,,,,,,75940564,Hector,$700.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,69114791,Christian,$700.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,16766980,Beth,$700.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,7391588,Marissa,$700.00,1,5.50%,,,,
,,,,,,,,,,,,,,,,,,13114408,Sheridan,$696.00,1,6.60%,,,,
,,,,,,,,,,,,,,,,,,296080182,Nikolay,$690.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,133276825,Alexa,$690.00,2,3.15%,,,,
,,,,,,,,,,,,,,,,,,63417081,Devon,$690.00,1,6.30%,,,,
,,,,,,,,,,,,,,,,,,21935479,Crysdian,$689.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,2465946,Becky John,$689.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,144598827,Joanne,$686.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,271497118,Marko,$675.00,1,7.40%,,,,
,,,,,,,,,,,,,,,,,,220552642,Mary Sally,$665.00,1,5.20%,,,,
,,,,,,,,,,,,,,,,,,5449234,Linda,$665.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,44581223,Andre,$663.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,36459240,Jim,$660.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,21227010,Robert,$660.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,38974403,Madison,$656.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,19482984,Allan,$644.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,160940380,Adeola,$642.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,76235304,Andy,$637.00,2,1.80%,,,,
,,,,,,,,,,,,,,,,,,36817697,Robert Nicole,$637.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,128417181,Rachel,$636.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,181618738,Benjamin,$630.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,335338127,Isabel,$624.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,145396881,Venus,$621.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,23588055,Genine,$618.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,188312153,Chris,$616.00,1,3.80%,,,,
,,,,,,,,,,,,,,,,,,362167586,Tour Inn Rooms,$612.00,1,3.30%,,,,
,,,,,,,,,,,,,,,,,,353307231,Barbara,$600.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,163068694,Aya,$600.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,98450365,Frank,$600.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,34274867,Sarah,$600.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,29241085,Matt,$600.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,21419119,Sebastien,$600.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,8697449,Jennifer,$600.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,2430503,Carlos,$600.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,12306512,Stu,$598.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,87151141,Ed,$597.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,160468444,Halim,$595.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,17568648,Steven,$595.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,311157064,Liyun,$591.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,323140152,Martha,$590.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,48000125,Gregory,$588.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,34603225,Lily,$588.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,365090021,Yuan,$585.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,97413943,John,$585.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,591673,Linda,$580.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,8489460,Holly + Mark,$576.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,241677470,Dee,$570.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,78812066,Scott,$570.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,54088712,Tara,$570.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,156362434,Intesar,$567.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,14561479,Evy,$567.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,7653310,John,$561.00,1,4.70%,,,,
,,,,,,,,,,,,,,,,,,233485864,Jeannie,$560.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,184847405,Jazz,$560.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,4177888,Mariana,$560.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,10742587,Terry,$553.00,1,1.90%,,,,
